STEP			DT			CFL			NEWTON ITERATIONS			
1			0.01			0.012898			1			
2			0.0121159			0.0186129			1			
3			0.0229903			0.0332757			1			
4			0.0448263			0.0570737			1			
5			0.0926027			0.101322			2			
6			0.185805			0.190366			2			
7			0.357356			0.369777			2			
8			0.655498			0.687308			3			
9			1.20757			1.22969			3			
10			2.15822			2.05162			3			
11			3.73834			3.20434			3			
12			6.41552			4.85653			4			
13			10.5972			6.91141			4			
14			17.318			9.69164			5			
15			27.6515			13.6039			7			
16			30			13.4951			8			
17			30			12.4961			7			
18			30			11.812			5			
19			19.5325			7.47138			4			
20			30			11.096			4			
21			30			10.8169			5			
22			30			10.6338			4			
23			30			10.5448			4			
24			30			10.495			4			
25			30			10.4678			4			
26			30			10.4478			4			
27			30			10.4279			4			
28			30			10.3954			4			
29			30			10.3461			4			
30			30			10.2665			4			
31			30			10.1571			4			
